d;h;l;c;o;v
2004-01-19;680,09;674,87;676,15;676,46;372706620
2004-01-20;678,1;669,6;671,25;674,24;321175259
2004-01-21;671,85;663,58;667,0;670,89;353666979
2004-01-22;676,39;667,4;672,92;670,92;407789180
2004-01-23;677,2;668,46;674,65;671,01;236522289
2004-01-26;676,87;672,07;676,87;674,98;178054818
2004-01-27;684,06;675,18;675,18;679,98;289111404
2004-01-28;675,57;669,91;672,1;672,25;260252975
2004-01-29;671,01;664,42;666,32;668,89;295965128
2004-01-30;675,69;669,59;673,91;673,21;424367787
2004-02-02;680,15;669,72;670,48;677,5;258772769
2004-02-03;669,95;665,81;669,87;669,49;273477605
2004-02-04;669,57;662,39;667,89;668,84;312121951
2004-02-05;674,08;665,85;673,12;670,66;394191518
2004-02-06;692,77;685,19;687,59;689,04;1080040088
2004-02-09;695,23;689,27;691,47;689,27;473184674
2004-02-10;699,79;688,18;698,34;690,91;473868447
2004-02-11;703,17;691,26;699,79;693,11;609342331
2004-02-12;706,37;694,03;694,13;703,11;421391729
2004-02-13;695,38;688,61;689,16;693,07;283636699
2004-02-16;697,33;687,45;695,8;689,18;194520871
2004-02-17;701,78;697,26;700,0;697,26;266422601
2004-02-18;703,62;696,96;699,6;699,44;276469801
2004-02-19;709,75;701,09;705,81;701,09;276346936
2004-02-20;704,98;698,16;700,1;703,42;267396382
2004-02-23;707,89;700,83;703,9;702,09;441098349
2004-02-24;701,61;687,75;690,56;701,61;422520105
2004-02-25;695,28;687,49;693,77;690,87;339505888
2004-02-26;700,09;695,18;697,44;697,18;295626420
2004-02-27;704,46;697,19;698,18;700,61;341439925
2004-03-01;705,86;697,51;704,47;699,57;309509099
2004-03-02;714,27;708,45;713,93;708,45;263696626
2004-03-03;719,56;711,98;718,99;713,52;387715123
2004-03-04;723,72;715,59;716,41;719,18;434949422
2004-03-05;721,84;712,81;717,24;716,33;334367308
2004-03-08;720,94;716,01;718,39;717,76;186897140
2004-03-09;713,8;706,48;706,98;713,23;309919720
2004-03-10;706,35;701,52;705,83;704,1;331872201
2004-03-11;696,96;676,27;683,16;696,96;737657990
2004-03-12;690,56;674,18;688,93;677,95;393466763
2004-03-15;690,93;678,35;680,19;690,93;369749357
2004-03-16;684,2;672,92;683,41;679,59;384954352
2004-03-17;693,92;684,52;693,1;684,52;292947045
2004-03-18;693,83;679,36;679,42;693,49;303539350
2004-03-19;684,06;677,2;681,76;680,73;220889529
2004-03-22;675,18;660,56;662,73;675,18;435742321
2004-03-23;673,17;660,11;670,17;663,52;403835431
2004-03-24;675,25;665,26;666,61;672,19;342940222
2004-03-25;678,4;669,94;678,33;669,94;370431820
2004-03-26;683,4;675,98;679,57;681,75;317668051
2004-03-29;691,59;679,8;691,59;679,8;182117971
2004-03-30;692,6;685,8;688,1;691,59;216904027
2004-03-31;694,66;687,2;690,28;688,27;284381745
2004-04-01;705,55;697,46;705,05;697,46;625791124
2004-04-02;716,1;703,94;713,11;705,63;493434841
2004-04-05;721,9;714,61;721,04;716,92;237363670
2004-04-06;725,66;712,22;717,59;721,65;474709110
2004-04-07;726,23;717,92;718,04;718,33;354618460
2004-04-08;725,01;718,87;719,93;721,11;130555581
2004-04-13;726,71;719,79;720,87;722,14;176097277
2004-04-14;717,41;706,78;714,18;717,41;280389931
2004-04-15;717,08;708,76;710,89;714,52;238085950
2004-04-16;717,66;708,0;713,12;711,31;299353184
2004-04-19;716,91;712,24;716,19;716,39;186787396
2004-04-20;727,84;720,35;725,07;720,35;353202584
2004-04-21;725,6;716,03;716,3;725,11;328304827
2004-04-22;728,87;718,05;728,07;718,14;354822368
2004-04-23;729,45;719,36;720,0;726,93;566310779
2004-04-26;724,89;714,21;716,11;717,44;357027870
2004-04-27;718,22;713,21;714,29;714,94;232305586
2004-04-28;710,9;698,32;698,32;710,33;356964486
2004-04-29;697,42;685,21;693,6;695,45;372688338
2004-04-30;693,42;684,3;685,59;691,92;252822477
2004-05-03;691,89;680,8;689,97;684,64;219728972
2004-05-04;693,07;686,13;688,35;689,9;256570739
2004-05-05;697,09;676,47;677,48;695,72;284823066
2004-05-06;697,09;676,47;677,48;695,72;278107205
2004-05-07;680,83;670,01;676,35;678,26;284917236
2004-05-10;669,82;651,28;652,21;669,82;368694197
2004-05-11;664,88;653,79;664,86;655,53;301328358
2004-05-12;667,33;650,78;651,6;663,37;342586649
2004-05-13;669,92;654,49;668,39;654,49;278441257
2004-05-14;668,64;661,22;663,75;668,01;229329433
2004-05-17;655,09;649,94;653,85;655,09;201976661
2004-05-18;661,08;656,24;658,86;656,44;215152812
2004-05-19;673,78;664,12;670,88;664,12;284687800
2004-05-21;669,37;662,57;667,02;669,37;198553286
2004-05-24;676,71;669,04;670,12;669,04;239128852
2004-05-25;668,15;661,14;663,77;667,67;224726075
2004-05-26;673,38;662,14;665,26;669,79;209014214
2004-05-27;674,01;666,2;671,79;666,2;185020270
2004-05-28;676,06;672,23;673,95;673,29;171125106
2004-05-31;673,95;673,95;673,95;673,95;171125106
2004-06-01;674,21;666,06;666,06;673,07;145971081
2004-06-02;676,3;669,35;672,03;669,35;200167557
2004-06-03;676,0;668,59;676,0;671,24;133280343
2004-06-04;685,9;677,54;685,49;677,54;186194328
2004-06-07;693,73;689,0;693,17;690,01;187477619
2004-06-08;694,93;688,6;691,3;694,63;189284512
2004-06-09;694,94;687,24;687,24;692,18;169503788
2004-06-10;688,92;685,08;686,61;688,45;116428513
2004-06-11;688,74;685,78;687,26;686,85;66230691
2004-06-14;686,7;676,44;677,89;686,7;129876937
2004-06-15;684,66;676,56;682,92;678,2;173559622
2004-06-16;687,34;682,85;686,46;683,68;153596568
2004-06-17;687,96;681,61;683,71;687,39;126859153
2004-06-18;683,65;679,54;681,37;682,28;147069143
2004-06-21;683,5;678,35;680,69;680,17;186409433
2004-06-22;681,72;676,33;677,92;679,2;186136261
2004-06-23;690,61;680,48;690,46;680,69;247666480
2004-06-24;698,98;694,95;697,54;695,78;250529964
2004-06-25;697,54;697,54;697,54;697,54;250529964
2004-06-28;700,25;694,31;699,27;696,0;140270672
2004-06-29;698,63;694,85;697,86;698,63;136091495
2004-06-30;701,99;697,62;698,13;700,17;171081959
